case_id,resolution,curvature_a,apex_x0,apex_y0,expected_gap,calg_gap,linear_gap,calg_error,linear_error,calg_elapsed_s,linear_elapsed_s,calg_candidate_pairs,linear_candidate_pairs,calg_contacts,linear_contacts,calg_better,error_ratio_linear_over_calg,notes
67,10,0.7489464197484772,0.056668995557696694,-0.03431635924127925,0.058407691450213794,0.058407691450213794,0.0616948079764079,0.0,0.0032871165261941088,1.6100011634989642e-07,0.00022220599998945545,1,200,1,1,True,328711652619.4109,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
68,4,0.5664014109271258,-0.13112161235357458,-0.03674978678980492,0.04395867689683964,0.04395867689683964,0.05446169844517998,0.0,0.01050302154834034,2.4900009520933963e-07,6.821700003456499e-05,1,32,1,1,True,1050302154834.0339,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
69,5,0.9915205858549425,-0.0698171267604478,-0.07296306005286926,0.0703161308499522,0.0703161308499522,0.0980163282658469,0.0,0.027700197415894703,1.809999048418831e-07,6.901000006109825e-05,1,50,1,1,True,2770019741589.47,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
70,10,0.948966042966453,0.028415529605002085,0.03867047821383425,0.042159896266940715,0.042159896266940715,0.044345221018457254,0.0,0.002185324751516539,1.8100013221555855e-07,0.00013741199995820352,1,200,1,1,True,218532475151.6539,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
71,5,1.1325813008330177,0.06320308240537403,0.050677033992922664,0.06619200333055118,0.06619200333055118,0.08418454672294437,0.0,0.017992543392393187,1.8200012164015789e-07,6.83849998495134e-05,1,50,1,1,True,1799254339239.3186,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
72,12,0.9246440022101681,0.03908528876153069,0.019573383826778548,0.06227476893029156,0.06227476893029156,0.06404155756345102,0.0,0.0017667886331594607,1.7399997886968777e-07,0.00017254699992008682,1,288,1,1,True,176678863315.94608,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
73,6,0.8637857037763399,-0.03469028451618779,0.016698510728347334,0.06335879026645679,0.06335879026645679,0.06463914189528197,0.0,0.0012803516288251854,1.7699994714348577e-07,7.85629999882076e-05,1,72,1,1,True,128035162882.51854,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
74,10,1.152440974883143,-0.017566276618047993,-0.019906861401315742,0.050784876371358825,0.050784876371358825,0.05159718269592653,0.0,0.0008123063245677048,1.7699994714348577e-07,0.00016418699988207663,1,200,1,1,True,81230632456.77048,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
75,12,0.8855551349651921,-0.052173849175907824,-0.0062635666124308854,0.06735352787745888,0.06735352787745888,0.06979884917741733,0.0,0.0024453212999584473,1.910000264615519e-07,0.00018015899991041806,1,288,1,1,True,244532129995.84473,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
76,7,0.6485011468274492,0.020266956749158294,0.022340044717298484,0.0683428783186686,0.0683428783186686,0.07699475621783086,0.0,0.00865187789916226,1.9499998415994924e-07,9.30619999053306e-05,1,98,1,1,True,865187789916.2261,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
77,12,0.8912305666358578,0.054365017360181664,-0.03693542606630658,0.04793806915977404,0.04793806915977404,0.0517879898599471,0.0,0.003849920700173058,1.9200001588615123e-07,0.0001750810001794889,1,288,1,1,True,384992070017.3058,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
78,6,0.877563146920586,0.002983415241802706,-0.04204819929331463,0.04989023533150362,0.04989023533150362,0.05144962277164143,0.0,0.0015593874401378105,2.0100014808122069e-07,7.923500015749596e-05,1,72,1,1,True,155938744013.78104,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
79,8,0.7180633580037028,-0.00761334172186698,-0.004900514407065622,0.04515340825476458,0.04515340825476458,0.04521227366251261,0.0,5.886540774803495e-05,1.939999947353499e-07,0.00010391899991191167,1,128,1,1,True,5886540774.803494,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
